Name,url,Active,Years Played,Position,Clubs Played,IOC
Samu Araújo,/en/players/e89b1919/Samu-Araujo,True,2014-2024,DF,"Compostela, Cultural Leonesa",ESP
Arberas,/en/players/b800d7c4/Arberas,True,2022-2024,DF,Gernika Club,ESP
Anaitz Arbilla,/en/players/850c0a0d/Anaitz-Arbilla,True,2010-2024,DF,"Eibar, Hércules, Rayo Vallecano, Espanyol, Salamanca",ESP
Fran Árbol,/en/players/2cecac6f/Fran-Arbol,True,2023-2024,GK,Granada,ESP
Matías Árbol,/en/players/6ae4bd6f/Matias-Arbol,True,2022-2024,GK,Sevilla,ESP
Ramón Arcas,/en/players/40fc30d6/Ramon-Arcas,True,2010-2024,MF,"Águilas, Recreativo",ESP
Nicolás Arce,/en/players/01d1cac9/Nicolas-Arce,True,2023-2024,MF,Covadonga,ESP
Cristian Arco,/en/players/b2c5d4c8/Cristian-Arco,True,2015-2024,GK,Lorca Deportiva,ESP
Imanol Arellano,/en/players/a77d2339/Imanol-Arellano,True,2023-2024,FW,Valle Egüés,ESP
Adrián Arenal,/en/players/936a804a/Adrian-Arenal,True,2023-2024,MF,Cayón,ESP
Adu Ares,/en/players/a461f098/Adu-Ares,True,2022-2024,FW,Athletic Club,ESP
Areso,/en/players/b2b8cb64/Areso,True,2021-2024,FW,Tarazona,ESP
Jesús Areso,/en/players/94e01ec6/Jesus-Areso,True,2021-2024,DF,"Osasuna, Burgos",ESP
Jeremy Arévalo,/en/players/70676088/Jeremy-Arevalo,True,2023-2024,FW,Racing Santander,ESP
Sergio Arévalo,/en/players/4152785b/Sergio-Arevalo,True,2023-2024,DF,Gimnástica Segoviana,ESP
Gaizka Argente,/en/players/08957ac6/Gaizka-Argente,True,2022-2024,DF,Gernika Club,ESP
David Argüelles,/en/players/a1b81f14/David-Arguelles,True,2020-2024,DF,"Ibiza, Sporting Gijón",ESP
Iñigo Arguibide,/en/players/d80d7f17/Inigo-Arguibide,True,2023-2024,FW,Osasuna,ESP
Aitor Arias,/en/players/056345a0/Aitor-Arias,True,2023-2024,GK,Orihuela,ESP
Álex Arias,/en/players/ef2a91c3/Alex-Arias,True,2014-2024,MF,"UD Logroñés, Numancia",ESP
Armando,/en/players/4413f8d9/Armando,True,2018-2024,MF,Sestao,ESP
Carla Armengol,/en/players/25f540ad/Carla-Armengol,True,2019-2024,MF,"Real Betis, Alavés",ESP
Diego Armengol,/en/players/435973ab/Diego-Armengol,True,2014-2024,GK,Real Avilés,ESP
Iris Arnaiz Gil,/en/players/aec17e23/Iris-Arnaiz-Gil,True,2022-2024,MF,Real Sociedad,ESP
José Arnaiz,/en/players/46e07328/Jose-Arnaiz,True,2015-2024,"FW,MF","Osasuna, Leganés, Valladolid, Barcelona B, Barcelona",ESP
Fernando Arnedillo,/en/players/d85a462a/Fernando-Arnedillo,True,2023-2024,DF,Barbastro,ESP
Eunate Arraiza,/en/players/7685f89a/Eunate-Arraiza,True,2016-2024,MF,Athletic Club,ESP
David Arranz,/en/players/335c54d0/David-Arranz,True,2023-2024,DF,Turégano,ESP
Pablo Arranz,/en/players/ac3faf42/Pablo-Arranz,True,2023-2024,FW,Gimnástica Segoviana,ESP
Óscar Arribas,/en/players/b64b5ecd/Oscar-Arribas,True,2016-2023,"FW,MF","Alcorcón, Cartagena",ESP
Sergio Arribas,/en/players/1e465e70/Sergio-Arribas,True,2020-2024,MF,"Almería, Real Madrid",ESP
Kepa Arrizabalaga,/en/players/28d596a0/Kepa-Arrizabalaga,True,2014-2024,GK,"Real Madrid, Spain, Chelsea, Athletic Bilbao, Valladolid, Ponferradina",ESP
Gabriel Arrocha,/en/players/f7e2871f/Gabriel-Arrocha,True,2023-2024,DF,Las Palmas,ESP
Ibai Arroki,/en/players/33078c6e/Ibai-Arroki,True,2023-2024,DF,Valle Egüés,ESP
Roberto Arroyo,/en/players/6091cf45/Roberto-Arroyo,True,2022-2024,FW,Ibiza,ESP
Jon Arruabarrena,/en/players/f3e009bc/Jon-Arruabarrena,True,2023-2024,FW,Gernika Club,ESP
Ricard Artero,/en/players/5d133e96/Ricard-Artero,True,2021-2024,MF,Girona,ESP
Markel Artetxe,/en/players/96efb39a/Markel-Artetxe,True,2023-2024,DF,Barakaldo,ESP
Gerard Artigas,/en/players/18d156a3/Gerard-Artigas,True,2018-2019,FW,,ESP
José Artiles,/en/players/913e81fb/Jose-Artiles,True,2011-2024,"FW,MF","Hércules, Las Palmas",ESP
Juan Artola,/en/players/2e3f3462/Juan-Artola,True,2021-2024,FW,"Alcorcón, Burgos",ESP
Arturo,/en/players/b83cc9ed/Arturo,True,2013-2024,FW,"UCAM Murcia, Córdoba, Llagostera, Alcorcón, Dundee",ESP
Arzalluz,/en/players/d1bc5ada/Arzalluz,True,2020-2024,FW,Gernika Club,ESP
Raúl Asencio,/en/players/69b17c5b/Raul-Asencio,True,2015-2023,FW,"Avellino, Benevento, Cittadella, Cosenza, Alcorcón, SPAL, Lecce, Pescara, Pisa",ESP
Sergio Asenjo,/en/players/9f0ea33f/Sergio-Asenjo,True,2007-2024,GK,"Valladolid, Villarreal, Atlético Madrid, Málaga",ESP
Alejandro Asensio,/en/players/b4c23f36/Alejandro-Asensio,True,2021-2024,FW,Ursaria,ESP
Marco Asensio,/en/players/45af8a54/Marco-Asensio,True,2013-2024,"FW,MF","Real Madrid, Spain, Paris Saint-Germain, Mallorca, Espanyol",ESP
Marcos Asensio,/en/players/5dfc082c/Marcos-Asensio,True,2020-2024,MF,Marbella,ESP
Iago Aspas,/en/players/7dcf86f6/Iago-Aspas,True,2010-2024,"FW,MF","Celta Vigo, Spain, Sevilla, Liverpool",ESP
Ander Astrain,/en/players/28ab6339/Ander-Astrain,True,2023-2024,MF,Valle Egüés,ESP
Ander Astralaga,/en/players/031e0283/Ander-Astralaga,True,2022-2024,GK,Barcelona,ESP
Pedro Astray,/en/players/ad45ae5b/Pedro-Astray,True,2014-2024,MF,Gimnástica Segoviana,ESP
María Asunción Quiñones,/en/players/55ff64ce/Maria-Asuncion-Quinones,True,2017-2024,GK,Athletic Club,ESP
Miguel Atienza,/en/players/12eda7be/Miguel-Atienza,True,2017-2024,MF,"Burgos, Eibar, CF Fuenlabrada",ESP
Pichu Atienza,/en/players/aaeacaca/Pichu-Atienza,True,2015-2024,DF,"Asteras Tripoli, Reus, Zaragoza, Numancia",ESP
Átomo,/en/players/b4935b1d/Atomo,True,2023-2024,FW,Arandina,ESP
Jose Aurelio Suarez,/en/players/968afa35/Jose-Aurelio-Suarez,True,2014-2024,GK,"Tokushima Vortis, Barcelona B, Alcorcón",ESP
Xabi Auzmendi,/en/players/cfa50899/Xabi-Auzmendi,True,2018-2021,MF,,ESP
Pelayo Avanzini,/en/players/8a500b61/Pelayo-Avanzini,True,2023-2024,MF,Covadonga,ESP
Fran Ávila,/en/players/4bb617f5/Fran-Avila,True,2021-2024,DF,CD San Roque de Lepe,ESP
Javier Avilés,/en/players/53ddba36/Javier-Aviles,True,2018-2024,FW,"Leganés, Amorebieta, Lugo, Tondela",ESP
Daniel Ayala,/en/players/302560a0/Daniel-Ayala,True,2009-2024,DF,"Middlesbrough, Rotherham United, Blackburn Rovers, Derby County, Nottingham Forest, Hull City, Norwi",ESP
Jesús Ayala,/en/players/e4d88d24/Jesus-Ayala,True,2012-2015,MF,,ESP
Gaizka Ayesa,/en/players/e495b4d5/Gaizka-Ayesa,True,2019-2024,GK,"Real Sociedad, Real Sociedad B",ESP
Iván Ayllón,/en/players/3eee7cbf/Ivan-Ayllon,True,2022-2024,FW,Cartagena,ESP
