Name,url,Active,Years Played,Position,Clubs Played,IOC
Denys Dedechko,/en/players/dd865e7a/Denys-Dedechko,True,2004-2019,MF,"Vorskla Poltava, Kryvbas Kryvyi Rih, SKA-Khabarovsk, FC Oleksandriya, FC Mariupol, Naftovyk-Ukrnafta",UKR
Oleksandr Demchenko,/en/players/af5f9a66/Oleksandr-Demchenko,True,2021-2024,MF,"FC Kolos Kovalivka, FC Oleksandriya, Chornomorets Odesa",UKR
Yehor Demchenko,/en/players/b07f71f3/Yehor-Demchenko,True,2015-2023,MF,"FK Metalist Kharkiv, Metalurh Zaporizhya",UKR
Ivan Demydenko,/en/players/927f793b/Ivan-Demydenko,True,2022-2024,FW,FK Mynai,UKR
Daniil Denysenko,/en/players/99b453bd/Daniil-Denysenko,True,2023-2024,MF,FC Kolos Kovalivka,UKR
Yana Derkach,/en/players/bc5e804b/Yana-Derkach,True,2019-2025,MF,,UKR
Maksym Diachuk,/en/players/75f6c9a1/Maksym-Diachuk,True,2022-2024,DF,"Dynamo Kyiv, FC Oleksandriya",UKR
Roman Didyk,/en/players/d8011bab/Roman-Didyk,True,2021-2024,DF,Рух,UKR
Kyrylo Digtyar,/en/players/48623d26/Kyrylo-Digtyar,True,2022-2023,MF,,UKR
Vladyslav Dmytrenko,/en/players/2abe1d3a/Vladyslav-Dmytrenko,True,2016-2024,FW,"FK Metalist 1925 Kharkiv, Volyn Lutsk",UKR
Danylo Dmytriiev,/en/players/fc74f723/Danylo-Dmytriiev,True,2020-2021,MF,,UKR
Yaroslav Dobrokhotov,/en/players/665c5fd9/Yaroslav-Dobrokhotov,True,2020-2021,DF,FC Mariupol,UKR
Artem Dolbnev,/en/players/1f42e56e/Artem-Dolbnev,True,2023-2024,MF,Zorya Luhansk,UKR
Viktor Dolgyi,/en/players/bdcf2a7d/Viktor-Dolgyi,True,2023-2024,GK,FC Oleksandriya,UKR
Petro Dolhov,/en/players/7674928e/Petro-Dolhov,True,2021-2022,DF,,UKR
Andrii Dombrovskyi,/en/players/6cb26397/Andrii-Dombrovskyi,True,2018-2022,MF,"Desna Chernihiv, Arsenal-Kyiv, Bruk-Bet Termalica Nieciecza",UKR
Oleksandr Domoleha,/en/players/c2f06a2f/Oleksandr-Domoleha,True,2022-2024,GK,Vorskla Poltava,UKR
Rodion Doronin,/en/players/057c7ab7/Rodion-Doronin,True,2023-2024,FW,Zorya Luhansk,UKR
Ihor Dorosh,/en/players/56f2fc89/Ihor-Dorosh,True,2023-2024,MF,FC Kolos Kovalivka,UKR
Denys Dovbetskyi,/en/players/e2297c11/Denys-Dovbetskyi,True,2022-2023,DF,,UKR
Artem Dovbyk,/en/players/5b847bb0/Artem-Dovbyk,True,2016-2024,FW,"Girona, Ukraine, SC Dnipro-1, FC Dnipro, SønderjyskE, Midtjylland",UKR
