Name,url,Active,Years Played,Position,Clubs Played,IOC
Christopher Kramer,/en/players/262e02ed/Christopher-Kramer,True,2015-2022,FW,,GER
Paul Krämer,/en/players/8cdf0671/Paul-Kramer,True,2020-2024,DF,"Carl Zeiss Jena U19, Carl Zeiss Jena U17",GER
Timon Kramer,/en/players/fd875682/Timon-Kramer,True,2021-2024,FW,"Union Berlin U19, Union Berlin U17",GER
Fabiano Krasnic,/en/players/32f83c0b/Fabiano-Krasnic,True,2021-2024,MF,"Arminia Bielefeld U19, Arminia Bielefeld, Arminia Bielefeld U17",GER
Edon Krasniqi,/en/players/01a9a39f/Edon-Krasniqi,True,2023-2024,DF,1860 Munich U17,GER
Ermal Krasniqi,/en/players/6afb8f68/Ermal-Krasniqi,True,2023-2024,FW,Paderborn 07 U17,GER
Leonard Krasniqi,/en/players/7ff83136/Leonard-Krasniqi,True,2021-2024,FW,"Hoffenheim U19, Hoffenheim U17",GER
Levin Krasniqi,/en/players/7cd4798a/Levin-Krasniqi,True,2020-2023,FW,"Augsburg U19, Augsburg U17",GER
Pius Krätschmer,/en/players/42c419b5/Pius-Kratschmer,True,2020-2024,DF,"Helmond Sport, Saarbrücken, Nürnberg",GER
Maurice Krattenmacher,/en/players/1b959b38/Maurice-Krattenmacher,True,2020-2024,MF,"Unterhaching, Unterhaching U17",GER
Jona Kratzenberg,/en/players/698c011b/Jona-Kratzenberg,True,2022-2024,FW,"Carl Zeiss Jena U19, Carl Zeiss Jena U17",GER
Elias Kratzer,/en/players/685143a2/Elias-Kratzer,True,2016-2021,DF,"Bayern Munich U17, Greuther Fürth U19",GER
Frans Krätzig,/en/players/1fc08838/Frans-Kratzig,True,2019-2024,MF,"Austria Wien, Bayern Munich, Bayern Munich U17, Bayern Munich U19",GER
Kevin Kratzsch,/en/players/2179596f/Kevin-Kratzsch,True,2022-2023,GK,,GER
Tobias Kraulich,/en/players/64b20513/Tobias-Kraulich,True,2016-2024,DF,"Dresden, Würzburger Kickers, Meppen, Rot-Weiß Erfurt",GER
Johannes Kraus,/en/players/97a10fcd/Johannes-Kraus,True,2016-2020,DF,Ingolstadt U19,GER
Kevin Kraus,/en/players/6a1b9f7c/Kevin-Kraus,True,2010-2024,DF,"Kaiserslautern, Heidenheim, Greuther Fürth",GER
Maximilian Krauß,/en/players/c10e4b9f/Maximilian-Krauss,True,2018-2023,FW,Unterhaching,GER
Tim Kraus,/en/players/d91bbbe7/Tim-Kraus,True,2018-2019,MF,Ingolstadt U19,GER
Tom Krauß,/en/players/9f77012e/Tom-Krauss,True,2016-2024,MF,"Mainz 05, Nürnberg, RB Leipzig U17, RB Leipzig U19, Schalke 04",GER
Arno Krause,/en/players/8e0cb014/Arno-Krause,True,2022-2024,MF,"RB Leipzig U19, RB Leipzig U17",GER
Henry Krause,/en/players/90a35137/Henry-Krause,True,2021-2024,MF,"Carl Zeiss Jena U19, Carl Zeiss Jena U17",GER
Jack Krause,/en/players/cb2eb5c4/Jack-Krause,True,2023-2024,GK,TuS Makkabi Berlin,GER
Luca Krause,/en/players/1f5d528d/Luca-Krause,True,2021-2024,FW,"Dresden U19, Dresden U17",GER
Paul Krause,/en/players/2ad60c1e/Paul-Krause,True,2019-2023,GK,,GER
Robin Krauße,/en/players/bd045d90/Robin-Krausse,True,2013-2024,"DF,MF","Eintracht Braunschweig, Paderborn 07, Ingolstadt 04, Hansa Rostock",GER
Paul Kraußold,/en/players/a04d9f99/Paul-Kraussold,True,2021-2024,FW,"Nürnberg U19, Nürnberg U17",GER
Jakob Krauss,/en/players/b905ec83/Jakob-Krauss,True,2023-2024,MF,Jahn Regensburg U17,GER
Jakob Krautkrämer,/en/players/ac0f6f57/Jakob-Krautkramer,True,2021-2024,DF,"Köln U19, Köln U17",GER
Caroline Krawczyk,/en/players/6fcc832a/Caroline-Krawczyk,True,2022-2024,MF,BSC YB Frauen,GER
Marcello Krayer,/en/players/6903b812/Marcello-Krayer,True,2021-2022,FW,FSV Frankfurt U17,GER
Florian Krebs,/en/players/ea714e70/Florian-Krebs,True,2016-2024,MF,"Inter Turku, Hertha BSC U19, FC Honka, Chemnitzer",GER
Mattes Krebs,/en/players/9b9ec1ab/Mattes-Krebs,True,2021-2024,FW,"Hansa Rostock U19, Hansa Rostock U17",GER
Connor Krempicki,/en/players/f1aa7f91/Connor-Krempicki,True,2015-2024,MF,"Magdeburg, MSV Duisburg, Uerdingen",GER
Constantin Kresin,/en/players/8785f508/Constantin-Kresin,True,2022-2024,FW,Augsburg U19,GER
Nic Kretschmar,/en/players/22a83797/Nic-Kretschmar,True,2021-2024,DF,"St Pauli U19, St Pauli U17",GER
Tom Kretzschmar,/en/players/d5e53d0c/Tom-Kretzschmar,True,2016-2024,GK,"Homburg, 1860 Munich U19, 1860 Munich",GER
Niklas Kreuzer,/en/players/3bc205b5/Niklas-Kreuzer,True,2013-2024,"DF,MF","Hallescher, Dynamo Dresden, Rot-Weiß Erfurt",GER
Sven Kreyer,/en/players/f9659ab0/Sven-Kreyer,True,2013-2020,FW,"Viktoria Köln, Bochum",GER
Marcus Kristensen,/en/players/84fc14be/Marcus-Kristensen,True,2022-2024,MF,"Stuttgart U19, Stuttgart U17",GER
Nicolas Kristof,/en/players/a037c229/Nicolas-Kristof,True,2021-2024,GK,Elversberg,GER
Moritz Kröger,/en/players/9df2da9c/Moritz-Kroger,True,2023-2024,MF,Werder Bremen U17,GER
Avid Krogmann,/en/players/babe8b95/Avid-Krogmann,True,2022-2024,DF,Werder Bremen U17,GER
Ian Kroh,/en/players/cadcc61b/Ian-Kroh,True,2016-2017,DF,Hansa Rostock U17,GER
Tim Krohn,/en/players/daea22dc/Tim-Krohn,True,2021-2024,FW,"Hansa Rostock U19, Hansa Rostock U17",GER
Joschka Kroll,/en/players/ac8bb757/Joschka-Kroll,True,2023-2024,DF,Osnabrück U19,GER
Colin Kroll-Thiel,/en/players/3c27bdf6/Colin-Kroll-Thiel,True,2023-2024,FW,Energie Cottbus U17,GER
