Name,url,Active,Years Played,Position,Clubs Played,IOC
Harry Cardwell,/en/players/7f876c2e/Harry-Cardwell,True,2015-2023,FW,"Grimsby Town, Southend United, Stockport County, Reading U23, Chorley FC, Woking, Braintree Town",SCO
Ryan Carr,/en/players/f4dd7cdf/Ryan-Carr,True,2021-2024,MF,Ipswich Town,SCO
Dale Carrick,/en/players/e0574b6d/Dale-Carrick,True,2012-2018,FW,"Heart of Midlothian, Kilmarnock, Livingston",SCO
Mackenzie Carse,/en/players/44b9b521/Mackenzie-Carse,True,2023-2024,MF,Queen's Park FC,SCO
Stuart Carswell,/en/players/dfeb1304/Stuart-Carswell,True,2010-2018,"DF,MF","Motherwell, Dumbarton, St Mirren",SCO
Colette Cavanagh,/en/players/3bee3ad9/Colette-Cavanagh,True,2019-2020,DF,,SCO
Kevin Cawley,/en/players/d6995e9f/Kevin-Cawley,True,2009-2021,"FW,MF","Alloa Athletic, Dumbarton, Ayr United",SCO
Joe Chalmers,/en/players/c55d09d4/Joe-Chalmers,True,2012-2024,"DF,MF","Dunfermline Athletic, Inverness CT, Ayr United, Motherwell, Ross County, Falkirk",SCO
Logan Chalmers,/en/players/2ae834b6/Logan-Chalmers,True,2017-2024,MF,"Ayr United, Dundee United, Tranmere Rovers, Inverness CT",SCO
Peter Cherrie,/en/players/a7dfc232/Peter-Cherrie,True,2008-2009,GK,Clyde,SCO
Jeremiah Chilokoa-Mullen,/en/players/3b57a494/Jeremiah-Chilokoa-Mullen,True,2020-2024,DF,"Leeds United U21, Inverness CT, Leeds United U23",SCO
Ryan Christie,/en/players/26ce2263/Ryan-Christie,True,2013-2024,"FW,MF","Bournemouth, Scotland, Celtic, Inverness CT, Aberdeen",SCO
Daniel Church,/en/players/af84ddaf/Daniel-Church,True,2018-2019,DF,,SCO
Erin Clachers,/en/players/fed95cc8/Erin-Clachers,True,2016-2023,GK,,SCO
Jenna Clark,/en/players/1a993b0e/Jenna-Clark,True,2018-2025,DF,"Liverpool, Glasgow City, Scotland",SCO
Kelly Clark,/en/players/c38319d1/Kelly-Clark,True,2022-2025,DF,Scotland,SCO
Nicky Clark,/en/players/9278b178/Nicky-Clark,True,2011-2024,"FW,MF","St Johnstone, Dundee United, Dunfermline Athletic, Rangers, Queen of the South, Bury",SCO
Zander Clark,/en/players/d7fc839a/Zander-Clark,True,2013-2024,GK,"Heart of Midlothian, Scotland, St Johnstone, Queen of the South",SCO
Flynn Clarke,/en/players/e0dd8dfe/Flynn-Clarke,True,2020-2024,MF,"Norwich City U21, Norwich City U23, Peterborough United",SCO
Thomas Clayton,/en/players/e8f15b6d/Thomas-Clayton,True,2017-2024,"DF,MF","Swindon Town, Liverpool U23",SCO
Lana Clelland,/en/players/4b5cef47/Lana-Clelland,True,2017-2024,"FW,MF","Sassuolo, Fiorentina, Scotland",SCO
Harry Cochrane,/en/players/256f65da/Harry-Cochrane,True,2017-2022,MF,"Heart of Midlothian, Queen of the South, Dunfermline Athletic",SCO
Darren Cole,/en/players/a39faa47/Darren-Cole,True,2010-2016,DF,"Livingston, Greenock Morton, Partick Thistle",SCO
Aaron Comrie,/en/players/a700c392/Aaron-Comrie,True,2016-2024,DF,"Dunfermline Athletic, St Johnstone",SCO
Kyle Connell,/en/players/53ee0a05/Kyle-Connell,True,2019-2023,MF,Raith Rovers,SCO
Lee Connelly,/en/players/4ed8d32b/Lee-Connelly,True,2017-2022,MF,"Sunderland U23, Queen of the South, Alloa Athletic",SCO
Aidan Connolly,/en/players/d18defc8/Aidan-Connolly,True,2013-2024,"FW,MF","Raith Rovers, Dundee United, York City, Dunfermline Athletic",SCO
Lennon Connolly,/en/players/90e52ee3/Lennon-Connolly,True,2022-2023,MF,,SCO
Andrew Considine,/en/players/88805bc5/Andrew-Considine,True,2003-2024,DF,"Aberdeen, St Johnstone, Scotland",SCO
Scott Constable,/en/players/c45ce167/Scott-Constable,True,2023-2024,MF,Dundee United,SCO
Tommy Conway,/en/players/746a92c5/Tommy-Conway,True,2020-2024,FW,Bristol City,SCO
Nathan Cooney,/en/players/4344f490/Nathan-Cooney,True,2019-2021,DF,,SCO
Liam Cooper,/en/players/dc64b8b3/Liam-Cooper,True,2009-2024,DF,"Leeds United, Scotland, Chesterfield, Hull City, Carlisle United, Huddersfield Town",SCO
Ali Coote,/en/players/e42c53b6/Ali-Coote,True,2014-2024,MF,"Detroit City, Dundee United",SCO
Dean Cornelius,/en/players/1199f8d8/Dean-Cornelius,True,2018-2024,MF,"Harrogate Town FC, Motherwell",SCO
Chelsea Cornet,/en/players/8f38c324/Chelsea-Cornet,True,2016-2025,MF,"Hibernian, Scotland",SCO
Dylan Corr,/en/players/8b3a8a95/Dylan-Corr,True,2023-2024,DF,Raith Rovers,SCO
Rachel Corsie,/en/players/49fd636f/Rachel-Corsie,True,2015-2025,"DF,MF","Aston Villa, Scotland, Utah Royals, Seattle Reign FC, Kansas City Current, Canberra United, Birmingh",SCO
Quinn Coulson,/en/players/9f0ea393/Quinn-Coulson,True,2020-2023,FW,Raith Rovers,SCO
Charlie Cowie,/en/players/5441c19e/Charlie-Cowie,True,2020-2022,GK,,SCO
Matthew Craig,/en/players/bc914523/Matthew-Craig,True,2021-2024,MF,"Tottenham Hotspur U21, Doncaster Rovers, Tottenham Hotspur U23",SCO
Michael Craig,/en/players/efa00ecf/Michael-Craig,True,2020-2024,MF,"Reading, Reading FC U21, Tottenham Hotspur U23",SCO
Callum Crane,/en/players/8cdfd056/Callum-Crane,True,2014-2019,DF,,SCO
Ali Crawford,/en/players/0b7d006b/Ali-Crawford,True,2009-2024,MF,"St Johnstone, Hamilton Academical, Doncaster Rovers, Bolton Wanderers, Greenock Morton, Tranmere Rov",SCO
Robbie Crawford,/en/players/79979a4e/Robbie-Crawford,True,2014-2024,MF,"Charleston Battery, Alloa Athletic, IFK Mariehamn, Monterey Bay, Rangers",SCO
Robbie Crawford,/en/players/b3913bb1/Robbie-Crawford,True,2011-2024,MF,"Greenock Morton, Ayr United, Motherwell, Livingston, Partick Thistle",SCO
Sean Crighton,/en/players/d8b36c76/Sean-Crighton,True,2017-2018,DF,Brechin City,SCO
Barry Cuddihy,/en/players/8a74593c/Barry-Cuddihy,True,2014-2016,MF,St Mirren,SCO
Eartha Cumings,/en/players/897b3f34/Eartha-Cumings,True,2018-2025,GK,Rosengård,SCO
Michael Cunningham,/en/players/f45a6373/Michael-Cunningham,True,2019-2020,FW,,SCO
Ross Cunningham,/en/players/0f904b97/Ross-Cunningham,True,2015-2020,FW,Hamilton Academical,SCO
Blair Currie,/en/players/4cb859b3/Blair-Currie,True,2011-2015,GK,Hamilton Academical,SCO
Erin Cuthbert,/en/players/76a887a9/Erin-Cuthbert,True,2016-2025,"FW,MF","Chelsea, Scotland",SCO
Scott Cuthbert,/en/players/a76227cb/Scott-Cuthbert,True,2008-2024,"DF,MF","Woking, Stevenage, Leyton Orient, Luton Town, Swindon Town, St Mirren",SCO
Andrew Dallas,/en/players/a00f38f9/Andrew-Dallas,True,2018-2024,"FW,MF","Kilmarnock, Barnsley, Solihull Moors, Cambridge United, Weymouth, Chesterfield, Greenock Morton",SCO
Arron Darge,/en/players/98791d25/Arron-Darge,True,2022-2023,DF,,SCO
Jake Davidson,/en/players/df96c08c/Jake-Davidson,True,2017-2024,DF,"Inverness CT, Queen's Park FC",SCO
Lauren Davidson,/en/players/4cbd25c8/Lauren-Davidson,True,2019-2025,FW,Scotland,SCO
Robbie Deas,/en/players/3d10ce8e/Robbie-Deas,True,2019-2024,DF,"Kilmarnock, Inverness CT, Alloa Athletic",SCO
Karamoko Dembele,/en/players/7304f3b1/Karamoko-Dembele,True,2018-2024,"FW,MF","Blackpool, Brest, Celtic",SCO
Balint Demus,/en/players/23a2de88/Balint-Demus,True,2022-2023,GK,,SCO
Aidan Denholm,/en/players/9251314b/Aidan-Denholm,True,2021-2024,FW,Heart of Midlothian,SCO
Adam Devine,/en/players/46f21efd/Adam-Devine,True,2021-2024,DF,"Motherwell, Rangers",SCO
David Devine,/en/players/f8e46aea/David-Devine,True,2018-2021,DF,Queen of the South,SCO
Michael Devlin,/en/players/76c0bee6/Michael-Devlin,True,2010-2024,DF,"Livingston, Hamilton Academical, Aberdeen, Scotland",SCO
Nicky Devlin,/en/players/5b891ca7/Nicky-Devlin,True,2012-2024,"DF,MF","Aberdeen, Livingston, Walsall, Ayr United, Dumbarton",SCO
Liam Dick,/en/players/dbab7833/Liam-Dick,True,2011-2024,DF,"Raith Rovers, Alloa Athletic, Falkirk, Dumbarton",SCO
Thomas Dickson-Peters,/en/players/f119a610/Thomas-Dickson-Peters,True,2019-2024,FW,"Norwich City U21, Norwich City U23, Gillingham, Grimsby Town",SCO
Russell Dingwall,/en/players/06dfef74/Russell-Dingwall,True,2016-2019,FW,,SCO
Ben Doak,/en/players/733f1a7d/Ben-Doak,True,2021-2024,FW,"Liverpool U21, Liverpool",SCO
Greg Docherty,/en/players/d6d15aea/Greg-Docherty,True,2013-2024,MF,"Hull City, Hamilton Academical, Shrewsbury Town, Rangers, Hibernian",SCO
Nicola Docherty,/en/players/8c2c96e1/Nicola-Docherty,True,2016-2025,DF,"Scotland, Glasgow City",SCO
Ross Docherty,/en/players/d4d1e795/Ross-Docherty,True,2011-2024,"DF,MF","Dundee United, Ayr United, Partick Thistle, Livingston",SCO
Josh Doig,/en/players/2f69d881/Josh-Doig,True,2020-2024,"DF,MF","Hellas Verona, Sassuolo, Scotland, Hibernian",SCO
Coll Donaldson,/en/players/25715e69/Coll-Donaldson,True,2012-2022,DF,"Inverness CT, Ross County, Dundee United, Livingston, Dunfermline Athletic",SCO
Luke Donnelly,/en/players/b66ed1c8/Luke-Donnelly,True,2016-2023,FW,"Arbroath, Greenock Morton",SCO
Ross Doohan,/en/players/2eaa420c/Ross-Doohan,True,2017-2024,GK,"Aberdeen, Ayr United, Tranmere Rovers, Forest Green Rovers, Ross County",SCO
Barry Douglas,/en/players/c859705e/Barry-Douglas,True,2010-2024,"DF,MF","Lech Poznań, Dundee United, Leeds United, Wolverhampton Wanderers, Konyaspor, Blackburn Rovers",SCO
Ryan Dow,/en/players/e665e45f/Ryan-Dow,True,2009-2024,"FW,MF","Arbroath, Dundee United, Dunfermline Athletic, Ross County",SCO
Anton Dowds,/en/players/f98c4c01/Anton-Dowds,True,2021-2024,FW,"Ayr United, Partick Thistle, Arbroath",SCO
Michael Doyle,/en/players/5aa78757/Michael-Doyle,True,2010-2023,DF,"Alloa Athletic, Greenock Morton, Queen of the South, Hamilton Academical, Stirling Albion",SCO
Flynn Duffy,/en/players/67c8ffe8/Flynn-Duffy,True,2020-2024,DF,Dundee United,SCO
Wallace Duffy,/en/players/c6e425f1/Wallace-Duffy,True,2019-2024,DF,"Inverness CT, St Johnstone",SCO
Logan Dunachie,/en/players/3b901884/Logan-Dunachie,True,2022-2023,DF,,SCO
Ryan Duncan,/en/players/13d00810/Ryan-Duncan,True,2020-2024,MF,Aberdeen,SCO
Elliot Dunlop,/en/players/cd6e1ef9/Elliot-Dunlop,True,2023-2024,MF,Airdrieonians,SCO
Scott Dunn,/en/players/53edf9da/Scott-Dunn,True,2021-2022,DF,,SCO
Aaron Dunsmore,/en/players/7648fd9d/Aaron-Dunsmore,True,2014-2016,DF,,SCO
Mark Durnan,/en/players/c2bc9089/Mark-Durnan,True,2013-2019,DF,"Dundee United, Queen of the South, Dunfermline Athletic",SCO
Conner Duthie,/en/players/65cd27c5/Conner-Duthie,True,2014-2018,FW,,SCO
Lyndon Dykes,/en/players/cd92357a/Lyndon-Dykes,True,2016-2024,"FW,MF","Queens Park Rangers, Scotland, Queen of the South, Livingston",SCO
Euan East,/en/players/341b1cef/Euan-East,True,2020-2022,DF,Queen of the South,SCO
Brian Easton,/en/players/e3908c66/Brian-Easton,True,2007-2023,DF,"Hamilton Academical, St Johnstone, Burnley, Dundee",SCO
Dylan Easton,/en/players/ccaa9ce5/Dylan-Easton,True,2011-2024,"FW,MF","Raith Rovers, Dumbarton, Livingston",SCO
Evan Easton,/en/players/135f6607/Evan-Easton,True,2023-2024,MF,Sheffield United,SCO
Finn Ecrepont,/en/players/ad03746d/Finn-Ecrepont,True,2018-2024,DF,Ayr United,SCO
Ollie Ecrepont,/en/players/22cb2342/Ollie-Ecrepont,True,2023-2024,GK,Ayr United,SCO
Johnny Emerson,/en/players/b36db929/Johnny-Emerson,True,2022-2023,FW,,SCO
Claire Emslie,/en/players/f2284088/Claire-Emslie,True,2017-2025,"FW,MF","Angel City FC, Manchester City, Scotland, Everton, Orlando Pride, Melbourne City, Bristol City",SCO
Ethan Erhahon,/en/players/87b5716f/Ethan-Erhahon,True,2017-2024,MF,"Lincoln City, St Mirren",SCO
Lee Erwin,/en/players/3972a2eb/Lee-Erwin,True,2014-2022,FW,"Oldham Athletic, Kilmarnock, Motherwell, St Mirren, Haka, Ross County, Leeds United, Tractor, Bury",SCO
Lisa Evans,/en/players/755ef87c/Lisa-Evans,True,2016-2025,"DF,FW","West Ham United, Bristol City, Arsenal, Scotland, Bayern Munich",SCO
Sarah Ewens,/en/players/14b701d9/Sarah-Ewens,True,2016-2025,FW,Birmingham City,SCO
