Name,url,Active,Years Played,Position,Clubs Played,IOC
Anna Geiser,/en/players/1a50f25a/Anna-Geiser,True,2021-2024,DF,FC Aarau,SUI
Roy Gelmi,/en/players/80fd8021/Roy-Gelmi,True,2014-2023,"DF,MF","Thun, St. Gallen, VVV-Venlo, FC Winterthur",SUI
Gianna Gerber,/en/players/be3a48da/Gianna-Gerber,True,2023-2024,MF,Thun Berner-Oberland,SUI
Raoul Giger,/en/players/4b10d7fb/Raoul-Giger,True,2023-2024,DF,Lausanne-Sport,SUI
Mathis Giordano,/en/players/1c15a441/Mathis-Giordano,True,2023-2024,MF,Lausanne-Sport,SUI
Zia Girardin,/en/players/e2f5c4ca/Zia-Girardin,True,2021-2023,DF,FC Yverdon,SUI
Natan Girma,/en/players/d6532d04/Natan-Girma,True,2023-2024,MF,Reggiana,SUI
Dylan Gissi,/en/players/cfa30154/Dylan-Gissi,True,2014-2023,"DF,MF","Club Olimpo, Defensa y Justicia, Banfield, Patronato, Unión, Atlético Tucumán, Rosario Central",SUI
Kevin Gissi,/en/players/79cd348a/Kevin-Gissi,True,2012-2017,FW,"Fénix, Rampla Juniors, Servette",SUI
Naja Glanzmann,/en/players/c980be52/Naja-Glanzmann,True,2021-2024,DF,St. Gallen-Staad,SUI
Nicolas Glaus,/en/players/b76d296b/Nicolas-Glaus,True,2022-2024,GK,Grasshopper,SUI
Riana Gmür,/en/players/3651a9de/Riana-Gmur,True,2022-2024,GK,FC Rapperswil-Jona,SUI
Théo Golliard,/en/players/0d8ade3a/Theo-Golliard,True,2021-2023,MF,,SUI
Yago Gomes,/en/players/9ad7a3db/Yago-Gomes,True,2020-2021,MF,Vaduz,SUI
Michael Gonçalves,/en/players/8272b3dc/Michael-Goncalves,True,2014-2024,DF,"FC Winterthur, Servette",SUI
Lorenzo Gonzales,/en/players/97894474/Lorenzo-Gonzales,True,2017-2023,FW,"Manchester City U23, Málaga",SUI
Gabriel González,/en/players/9bbc9670/Gabriel-Gonzalez,True,2022-2024,MF,"Bayern Munich U19, Bayern Munich U17",SUI
Kaia Grande,/en/players/26c9b179/Kaia-Grande,True,2022-2023,FW,FC Yverdon,SUI
Malay Granges,/en/players/b3e2f045/Malay-Granges,True,2021-2024,FW,BSC YB Frauen,SUI
Anto Grgić,/en/players/126cf855/Anto-Grgic,True,2015-2024,MF,"Lugano, Sion, Zürich, Stuttgart",SUI
Simone Grippo,/en/players/8f2d246e/Simone-Grippo,True,2008-2024,"DF,MF","Lausanne-Sport, Vaduz, Zaragoza, Oviedo, Frosinone, Servette, Piacenza",SUI
Alyssa Grivaz,/en/players/378fe98d/Alyssa-Grivaz,True,2020-2022,MF,Servette,SUI
Leonardo Gubinelli,/en/players/9111cade/Leonardo-Gubinelli,True,2021-2022,MF,Havelse,SUI
Yanick Guerchadi,/en/players/371bedf0/Yanick-Guerchadi,True,2016-2017,MF,,SUI
Stefano Guidotti,/en/players/b635c249/Stefano-Guidotti,True,2016-2023,MF,"Lugano, St. Gallen",SUI
Jérémy Guillemenot,/en/players/8d5d4b89/Jeremy-Guillemenot,True,2018-2024,FW,"Servette, St. Gallen, Rapid Wien",SUI
